"Relatif","Modifie","TailleKo"
".cursor\rules\compteur-srm-id-lieu.mdc","2026-09-21 21:16:43","2,5"
"mhai_vignettes\app\Http\Controllers\Tbge\BatimentTbgeController.php","2026-09-21 21:56:38","51,7"
"mhai_vignettes\app\Http\Controllers\Tbge\CompteurSrmController.php","2026-09-21 21:56:38","3,3"
"mhai_vignettes\app\Http\Controllers\Tbge\CompteurTbgeController.php","2026-09-21 21:56:38","23,9"
"mhai_vignettes\app\Http\Controllers\Tbge\FactureTbgeController.php","2026-09-21 22:42:41","51,2"
"mhai_vignettes\app\Metadata\Excel\FacturesExport.php","2026-09-21 22:39:14","2,1"
"mhai_vignettes\app\Models\Tbge\Batiments.php","2026-09-21 21:56:38","2,5"
"mhai_vignettes\app\Models\Tbge\Concerns\HasSrmReference.php","2026-09-21 22:37:29","0,5"
"mhai_vignettes\app\Providers\TbgeSrmServiceProvider.php","2026-09-21 21:56:38","1,2"
"mhai_vignettes\app\Services\Tbge\CompteurSrmService.php","2026-09-21 21:56:38","5,6"
"mhai_vignettes\app\Services\Tbge\MigrationCilImportService.php","2026-09-21 21:56:38","11,2"
"mhai_vignettes\config\app.php","2026-09-21 15:34:01","9,8"
"mhai_vignettes\database\sql\add_compteur_fournisseur_ancien.sql","2026-09-21 21:56:38","0,5"
"mhai_vignettes\database\sql\fix_facture_search_fournisseur_actuel.sql","2026-09-21 22:37:21","9"
"mhai_vignettes\docs\REPRISE-COMPTEUR-ID-LIEU-SRM.md","2026-09-21 21:16:45","1,5"
"mhai_vignettes\public\tbge-extensions\mosquee-compteurs-srm.css","2026-09-21 21:56:38","1,3"
"mhai_vignettes\public\tbge-extensions\mosquee-compteurs-srm.js","2026-09-21 21:56:38","13,2"
"mhai_vignettes\public\tbge-legacy\createOrEdit\coeCVM.js","2026-09-21 21:56:38","12,5"
"mhai_vignettes\resources\views\tbge\extensions\compteur-srm-fields.blade.php","2026-09-21 21:56:38","1,2"
"mhai_vignettes\resources\views\tbge\tbge\compteur\create.blade.php","2026-09-21 21:56:38","13,7"
"mhai_vignettes\resources\views\tbge\tbge\facture\index.blade.php","2026-09-21 22:42:46","12,1"
